ORGANO EJECUTIVO (Ministerio de Medio Ambiente y Recursos Naturales),22/11/2020,09/10/2014,https://www.jurisprudencia.gob.sv/DocumentosBoveda/D/2/2010-2019/2014/10/AA2AB.PDF,Decreto Ejecutivo,"El presente Decreto tiene como objetivos conservar los ecosistemas naturales del Área Natural Protegida San Antonio Silva, ubicado en el cantón San Antonio Silva, Municipio y Departamento de San Miguel, asegurando el mantenimiento de las especies silvestres nativas, especialmente aquellas consideradas como endémicas o amenazadas, junto con los procesos ecológicos y evolutivos que tienen lugar en estos ecosistemas; así como también asegurar el flujo constante para éstas y las siguientes generaciones, de los servicios ambientales suministrados por los ecosistemas naturales del Área Natural Protegida, entre otros.","DECRETO POR MEDIO DEL CUAL SE ESTABLECE AREA NATURAL PROTEGIDA EL INMUEBLE SAN ANTONIO SILVA, DEL MUNICIPIO DE SAN MIGUEL, DEPARTAMENTO DE SAN MIGUEL"
ORGANO EJECUTIVO (Ministerio de Medio Ambiente y Recursos Naturales),22/11/2020,10/10/2014,https://www.jurisprudencia.gob.sv/DocumentosBoveda/D/2/2010-2019/2014/10/AA2C6.PDF,Decreto Ejecutivo,"El presente Decreto tiene como objetivos conservar los ecosistemas naturales del Área Natural Protegida Tahuapa, conformada por SEIS PORCIONES, ubicado en el Cantón La Danta, Municipio y Departamento de Ahuachapán, asegurando el mantenimiento de las especies silvestres nativas, especialmente aquellas consideradas como endémicas o amenazadas, junto con los procesos ecológicos y evolutivos que tienen lugar en estos ecosistemas; así como también asegurar el flujo constante para éstas y las siguientes generaciones, de los servicios ambientales suministrados por los ecosistemas naturales del Área Natural Protegida, entre otros.","DECRETO POR MEDIO DEL CUAL SE ESTABLECE AREA NATURAL PROTEGIDA EL INMUEBLE TAHUAPA, DEL MUNICIPIO DE AHUACHAPAN, DEPARTAMENTO DE AHUACHAPAN"
ORGANO EJECUTIVO (Ministerio de Medio Ambiente y Recursos Naturales),22/11/2020,14/10/2014,https://www.jurisprudencia.gob.sv/DocumentosBoveda/D/2/2010-2019/2014/10/AA340.PDF,Decreto Ejecutivo,"El presente Decreto tiene como objetivos conservar los ecosistemas naturales del Área Natural Protegida El Carmen Bosque Nueve ubicado en el cantón El Zapote, Municipio de Caluco, Departamento de Sonsonate, asegurando el mantenimiento de las especies silvestres nativas, especialmente aquellas consideradas como endémicas o amenazadas, junto con los procesos ecológicos y evolutivos que tienen lugar en estos ecosistemas; así como también asegurar el flujo constante para éstas y las siguientes generaciones, de los servicios ambientales suministrados por los ecosistemas naturales del Área Natural Protegida, entre otros.","DECRETO POR MEDIO DEL CUAL SE ESTABLECE AREA NATURAL PROTEGIDA EL INMUEBLE EL CARMEN BOSQUE NUEVE, DEL MUNICIPIO DE CALUCO, DEPARTAMENTO DE SONSONATE"
ORGANO EJECUTIVO (Ministerio de Medio Ambiente y Recursos Naturales),22/11/2020,14/10/2014,https://www.jurisprudencia.gob.sv/DocumentosBoveda/D/2/2010-2019/2014/10/AA33D.PDF,Decreto Ejecutivo,"El presente Decreto tiene como objetivos conservar los ecosistemas naturales del Área Natural Protegida Copinolapa, ubicado en el cantón Copinolapa, Municipio de Sensuntepeque, Departamento de Cabañas, asegurando el mantenimiento de las especies silvestres nativas, especialmente aquellas consideradas como endémicas o amenazadas, junto con los procesos ecológicos y evolutivos que tienen lugar en estos ecosistemas; así como también asegurar el flujo constante para éstas y las siguientes generaciones, de los servicios ambientales suministrados por los ecosistemas naturales del Área Natural Protegida, entre otros.","DECRETO POR MEDIO DEL CUAL SE ESTABLECE AREA NATURAL PROTEGIDA EL INMUEBLE COPINOLAPA DEL MUNICIPIO DE SENSUNTEPEQUE, DEPARTAMENTO DE CABAÑAS"
ORGANO EJECUTIVO (Ministerio de Medio Ambiente y Recursos Naturales),22/11/2020,15/10/2014,https://www.jurisprudencia.gob.sv/DocumentosBoveda/D/2/2010-2019/2014/10/AA346.PDF,Decreto Ejecutivo,"El presente Decreto tiene como objetivos conservar los ecosistemas naturales del Área Natural Protegida San Jerónimo, ubicado en el cantón San Jerónimo, municipio de Candelaria de la Frontera, Departamento de Santa Ana, asegurando el mantenimiento de las especies silvestres nativas, especialmente aquellas consideradas como endémicas o amenazadas, junto con los procesos ecológicos y evolutivos que tienen lugar en estos ecosistemas; así como también asegurar el flujo constante para éstas y las siguientes generaciones, de los servicios ambientales suministrados por los ecosistemas naturales del Área Natural Protegida, entre otros.","DECRETO POR MEDIO DEL CUAL SE ESTABLECE AREA NATURAL PROTEGIDA EL INMUEBLE SAN JERONIMO DEL MUNICIPIO DE CANDELARIA DE LA FRONTERA, DEPARTAMENTO DE SANTA ANA"
ORGANO EJECUTIVO (Ministerio de Medio Ambiente y Recursos Naturales),22/11/2020,21/10/2014,https://www.jurisprudencia.gob.sv/DocumentosBoveda/D/2/2010-2019/2014/10/AA48E.PDF,Decreto Ejecutivo,"El presente Decreto tiene como objetivos conservar los ecosistemas naturales del Área Natural Protegida ""EL TAMARINDO"", ubicado en el cantón El Tecomatal, jurisdicción de Estanzuelas, Departamento de Usulután, asegurando el mantenimiento de las especies silvestres nativas, especialmente aquellas consideradas como endémicas o amenazadas, junto con los procesos ecológicos y evolutivos que tienen lugar en estos ecosistemas; así como también asegurar el flujo constante para éstas y las siguientes generaciones, de los servicios ambientales suministrados por los ecosistemas naturales del Área Natural Protegida, entre otros.","DECRETO POR MEDIO DEL CUAL SE ESTABLECE AREA NATURAL PROTEGIDA EL INMUEBLE EL TAMARINDO, MUNICIPIO DE ESTANZUELAS, DEPARTAMENTO DE USULUTAN"
ORGANO EJECUTIVO (Ministerio de Medio Ambiente y Recursos Naturales),22/11/2020,21/10/2014,https://www.jurisprudencia.gob.sv/DocumentosBoveda/D/2/2010-2019/2014/10/AA499.PDF,Decreto Ejecutivo,"El presente Decreto tiene como objetivos conservar los ecosistemas naturales del Área Natural Protegida ""EL TECOMATAL"", ubicada en el cantón El Tecomatal, jurisdicción de Estanzuelas, Departamento de Usulután, asegurando el mantenimiento de las especies silvestres nativas, especialmente aquellas consideradas como endémicas o amenazadas, junto con los procesos ecológicos y evolutivos que tienen lugar en estos ecosistemas; así como también asegurar el flujo constante para éstas y las siguientes generaciones, de los servicios ambientales suministrados por los ecosistemas naturales del Área Natural Protegida, entre otros.","DECRETO POR MEDIO DEL CUAL SE ESTABLECE AREA NATURAL PROTEGIDA EL INMUEBLE EL TECOMATAL, MUNICIPIO DE ESTANZUELAS, DEPARTAMENTO DE USULUTAN"
INSTITUCIONES AUTÓNOMAS (Alcaldía Municipal),22/11/2020,15/08/2012,https://www.jurisprudencia.gob.sv/DocumentosBoveda/D/2/2010-2019/2012/08/98D89.PDF,Decreto Municipal-Chirilagua,"El objetivo principal de esta Ordenanza es el de evitar la contaminación de la población por causa de las aguas residuales y negras, por medio de un manejo adecuado del alcantarillado y la planta de tratamiento de dichas aguas.","ORDENANZA REGULADORA DE LA PRESTACION DE SERVICIOS DE ALCANTARILLADO Y PLANTA DE TRATAMIENTO AGUAS RESIDUALES DE LA PLAYA EL CUCO, COLONIA FLORES DE ANDALUCIA DEL MUNICIPIO DE LA CIUDAD DE CHIRILAGUA, DEPARTAMENTO DE SAN MIGUEL"
ORGANO LEGISLATIVO,22/11/2020,02/10/2013,https://www.jurisprudencia.gob.sv/DocumentosBoveda/D/2/2010-2019/2013/10/A2AA3.PDF,Decreto Legislativo,"La presente ley tiene por objeto contribuir a enfrentar la crisis generada por la caída de los precios del café y los daños por el fuerte rebrote de la roya del cafeto; asimismo, seguir contribuyendo a la reactivación del sector cafetalero, mediante la suspensión de embargos a productores de café con créditos provenientes del Fideicomiso Ambiental para la Conservación del Bosque Cafetalero (FICAFE) y del Fondo de Emergencia para el Café (FEC), que hubieren cumplido con parte total o parcial de las cuotas correspondientes hasta el año 2012.",LEY ESPECIAL TRANSITORIA PARA LA SUSPENSION DE EMBARGOS POR CREDITOS OTORGADOS AL SECTOR PRODUCTOR DEL CAFE
ORGANO EJECUTIVO (Ministerio de Medio Ambiente y Recursos Naturales),22/11/2020,08/10/2014,https://www.jurisprudencia.gob.sv/DocumentosBoveda/D/2/2010-2019/2014/10/AA28E.PDF,Decreto Ejecutivo,"El presente Decreto tiene como objetivos conservar los ecosistemas naturales del Área Natural Protegida ""Chaparrón o San Cayetano"" Cutumay Camones, municipio y departamento de Santa Ana, asegurando el mantenimiento de las especies silvestres nativas, especialmente aquellas consideradas como endémicas o amenazadas, junto con los procesos ecológicos y evolutivos que tienen lugar en estos ecosistemas; así como también asegurar el flujo constante para éstas y las siguientes generaciones, de los servicios ambientales suministrados por los ecosistemas naturales del Área Natural Protegida, entre otros.","DECRETO POR MEDIO DEL CUAL SE ESTABLECE AREA NATURAL PROTEGIDA EL INMUEBLE CHAPARRON O SAN CAYETANO, DEL MUNICIPIO DE SANTA ANA, DEPARTAMENTO DE SANTA ANA"
INSTITUCIONES AUTÓNOMAS (Alcaldía Municipal),22/11/2020,21/08/2017,https://www.jurisprudencia.gob.sv/DocumentosBoveda/D/2/2010-2019/2017/08/C49CB.PDF,Decreto Municipal-Jocoro,"La presente ordenanza tiene por objeto establecer el manejo adecuado de residuos sólidos, promoviendo la separación en residuos orgánicos e inorgánicos, el compostaje, una educación ambiental permanente para la buena gestión y mejorar las condiciones ambientales del Municipio de Jocoro, Departamento de Morazán.","ORDENANZA REGULADORA DE LOS RESIDUOS SOLIDOS DEL MUNICIPIO DE JOCORO, DEPARTAMENTO DE MORAZAN"
INSTITUCIONES AUTONOMAS (Alcaldía Municipal),22/11/2020,07/12/2011,https://www.jurisprudencia.gob.sv/DocumentosBoveda/D/2/2010-2019/2011/12/934F5.PDF,Decreto Municipal-Nombre de Jesús,"La presente Ordenanza tiene por objeto educar y concientizar la participación ciudadana en el manejo sostenible de los recursos naturales, principalmente el recurso hídrico ubicado dentro de esta jurisdicción, siendo necesario desarrollar campañas de educación y concientización ambiental, con el objetivo de mejorar las condiciones de salud de la población, siendo de vital necesidad controlar la extracción de material pétreo (piedra y arena) de las zonas altas de las cuencas hidrográficas, ríos y quebradas del municipio que no cuente con los permisos emitidos por las autoridades correspondientes.","ORDENANZA MUNICIPAL DEL USO SOSTENIBLE DE LOS RECURSOS NATURALES CON ENFASIS EN EL RECURSO HIDRICO DEL MUNICIPIO DE NOMBRE DE JESUS, DEPARTAMENTO DE CHALATENANGO"
INSTITUCIONES AUTÓNOMAS (Alcaldía Municipal),22/11/2020,19/12/2011,https://www.jurisprudencia.gob.sv/DocumentosBoveda/D/2/2010-2019/2011/12/93BD0.PDF,Decreto Municipal-Comalapa,"La presente ordenanza tiene por objeto emitir las regulaciones tendientes a proteger, conservar y recuperar el medio ambiente y los recursos naturales renovables y no renovables, del municipio, de modo que contribuyan y proporcionen a los habitantes del municipio de Comalapa, innumerables aportes de índole socio-económico, ecológica y ambiental.","ORDENANZA MUNICIPAL AMBIENTAL PARA LA PROTECCION, CONSERVACION Y RECUPERACION DEL MEDIO AMBIENTE DEL MUNICIPIO DE COMALAPA, DEPARTAMENTO DE CHALATENANGO"
INSTITUCIONES AUTONOMAS (Alcaldías Municipales),22/11/2020,08/12/2011,https://www.jurisprudencia.gob.sv/DocumentosBoveda/D/2/2010-2019/2011/12/934E9.PDF,Decreto Municipal-Candelaria de la Frontera,"La presente Ordenanza posee por finalidad establecer el marco regulatorio para la implementación de la política ""Bosques para siempre"", al que se sujetarán las actividades de manejo sostenible de bosques y manejo para la conservación de las Áreas Naturales y Zonas de Amortiguamiento, en el municipio de Candelaria de la Frontera; elevando para tal fin los niveles de responsabilidad y participación ciudadana, fortaleciendo la capacidad de gestión de la Unidad Ambiental Municipal, coordinando esfuerzos del Gobierno Central con diferentes Entidades, fomentando así la cultura de la denuncia individual o colectiva, principalmente de los delitos y faltas ambientales.","ORDENANZA MUNICIPAL PARA LA IMPLEMENTACION DE LA POLITICA PUBLICA BOSQUES PARA SIEMPRE EN EL MUNICIPIO DE CANDELARIA DE LA FRONTERA, DEPARTAMENTO DE SANTA ANA"
INSTITUCIONES AUTÓNOMAS (Alcaldía Municipal),22/11/2020,01/03/2012,https://www.jurisprudencia.gob.sv/DocumentosBoveda/D/2/2010-2019/2012/03/956BD.PDF,Decreto Municipal-El Rosario,"La creación de la Presente Ordenanza se da por la competencia que tienen los municipios para la elaboración, aprobación y ejecución de lo planes de desarrollo local; siendo entonces el objetivo de dicha Ordenanza establecer los instrumentos de planificación y gestión del territorio en estricto cumplimiento al Plan de Desarrollo Territorial de la Región La Paz, regular el uso del territorio y las actuaciones urbanísticas en los ámbitos urbano y rural.","ORDENANZA PARA EL DESARROLLO, ORDENAMIENTO Y GESTION DEL TERRITORIO DEL MUNICIPIO DE EL ROSARIO, DEPARTAMENTO DE LA PAZ"
INSTITUCIONES AUTÓNOMAS (Alcaldía Municipal),22/11/2020,07/05/2012,https://www.jurisprudencia.gob.sv/DocumentosBoveda/D/2/2010-2019/2012/05/96973.PDF,Decreto Municipal-La Palma,"Por medio del presente Ordenanza, se promueve el desarrollo integral del Municipio de La Palma, utilizando para tal fin el Plan de Desarrollo Local de dicho municipio; asimismo regula el uso del suelo y las actuaciones urbanísticas, estableciendo los requerimientos que deberán cumplir los proyectos a desarrollarse en este.","ORDENANZA REGULADORA DEL USO DEL SUELO Y ORDENAMIENTO TERRITORIAL DEL MUNICIPIO DE LA PALMA, DEPARTAMENTO DE CHALATENANGO"
INSTITUCIONES AUTÓNOMAS (Alcaldía Municipal),22/11/2020,07/06/2012,https://www.jurisprudencia.gob.sv/DocumentosBoveda/D/2/2010-2019/2012/06/974D5.PDF,Decreto Municipal-Citalá,"El objeto de la presente Ordenanza es el de promover el desarrollo integral del Municipio de Citalá, regulando el uso del suelo y las actuaciones urbanísticas; siendo necesario el ordenamiento del territorio en los ámbitos urbano y rural del Municipio, con el fin de conservar los recursos con los que el municipio cuenta para que crezca y se desarrollo de forma coherente.","ORDENANZA REGULADORA DEL USO DEL SUELO Y ORDENAMIENTO TERRITORIAL DEL MUNICIPIO DE CITALA, DEPARTAMENTO DE CHALATENANGO"
INSTITUCIONES AUTÓNOMAS (Alcaldía Municipal),22/11/2020,07/06/2012,https://www.jurisprudencia.gob.sv/DocumentosBoveda/D/2/2010-2019/2012/06/974C6.PDF,Decreto Municipal-San Fernando,"La presente Ordenanza pretende promover el desarrollo integral del Municipio de San Fernando, fundamentado en el Plan de Desarrollo Local; regula además el uso del suelo y las actuaciones urbanísticas, estableciendo los requerimientos que deberán cumplir los proyectos a desarrollarse en dicho municipio, con la finalidad de un desarrollo integral y sostenible que tenga como centro el ser humano y su bienestar social.","ORDENANZA REGULADORA DEL USO DEL SUELO Y ORDENAMIENTO TERRITORIAL DEL MUNICIPIO DE SAN FERNANDO, DEPARTAMENTO DE CHALATENANGO"
INSTITUCIONES AUTÓNOMAS (Alcaldía Municipal),22/11/2020,13/06/2012,https://www.jurisprudencia.gob.sv/DocumentosBoveda/D/2/2010-2019/2012/06/97961.PDF,Decreto Municipal-Santiago de la Frontera,"Por medio de este instrumento jurídico, se pretende proyectar el desarrollo sostenible del Municipio de Santiago de la Frontera, Departamento de Santa Ana, por medio de la planificación, gestión y el control del territorial.","ORDENANZA REGULADORA DEL USO DEL SUELO Y ORDENAMIENTO TERRITORIAL DEL MUNICIPIO DE SANTIAGO DE LA FRONTERA, DEPARTAMENTO DE SANTA ANA"
INSTITUCIONES AUTÓNOMAS (Alcaldía Municipal),22/11/2020,13/06/2012,https://www.jurisprudencia.gob.sv/DocumentosBoveda/D/2/2010-2019/2012/06/9795F.PDF,Decreto Municipal-Santa Rosa Guachipilín,"Por medio de este instrumento jurídico, se pretende proyectar el desarrollo sostenible del Municipio de Santa Rosa Guachipilín del Departamento de Santa Ana, por medio de la planificación, gestión y el control del territorio.","ORDENANZA REGULADORA DEL USO DEL SUELO Y ORDENAMIENTO TERRITORIAL DEL MUNICIPIO DE SANTA ROSA GUACHIPILIN, DEPARTAMENTO DE SANTA ANA"
INSTITUCIONES AUTÓNOMAS (Alcaldía Municipal),22/11/2020,13/06/2012,https://www.jurisprudencia.gob.sv/DocumentosBoveda/D/2/2010-2019/2012/06/97954.PDF,Decreto Municipal-San Antonio Pajonal,"La presente Ordenanza posee como finalidad promover el desarrollo integral del municipio de San Antonio Pajonal, fundamentado en el Plan de Desarrollo Local (PDL); así como regular el uso del suelo y las actuaciones urbanísticas, estableciendo los requerimientos que deben cumplir los proyectos a desarrollarse en dicho municipio, para obtener como resultado un desarrollo integral y sostenible que tenga como centro el ser humano y su bienestar social, económico y ambiental.","ORDENANZA REGULADORA DEL USO DEL SUELO Y ORDENAMIENTO TERRITORIAL DEL MUNICIPIO DE SAN ANTONIO PAJONAL, DEPARTAMENTO DE SANTA ANA"
