"subjects","use_for_search"
"Agricultural & rural development",NA
"Air & atmosphere",NA
"Cultivated plants",NA
"Energy",NA
"Environment gen.",NA
"Fisheries",NA
"Food & nutrition",NA
"Forestry",NA
"Land & soil",NA
"Livestock",NA
"Mineral resources",NA
"Sea",NA
"Waste & hazardous substances",NA
"Water",NA
"Wild species & ecosystems",NA
