MINISTERIO DE VIVIENDA Y URBANISMO; SUBSECRETARÍA DE VIVIENDA Y URBANISMO;  SECRETARÍA REGIONAL MINISTERIAL VI REGIÓN DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,Chile,LeyChile,Resolución,CHL/policy_1138603.txt,txt,https://nuevo.leychile.cl/servicios/Consulta/Exportar?radioExportar=Normas&exportar_formato=txt&nombrearchivo=CHL/policy_1138603&exportar_con_notas_bcn=False&exportar_con_notas_originales=False&exportar_con_notas_al_pie=False&hddResultadoExportar=1138603.2019-11-14.0.0%23,,2019-10-16,https://nuevo.leychile.cl/servicios/Consulta/Exportar?radioExportar=Normas&exportar_formato=txt&nombrearchivo=CHL/policy_1138603&exportar_con_notas_bcn=False&exportar_con_notas_originales=False&exportar_con_notas_al_pie=False&hddResultadoExportar=1138603.2019-11-14.0.0%23,CHL-000-00000-0000000,0,2019-11-14,1138603,False,"MODIFÍQUESE RESOLUCIÓN N° 549 EXENTA, DE FECHA 1 DE JULIO DE 2019, QUE LLAMA A CONCURSO REGIONAL PARA CONSTRUCCIÓN DE PROYECTO ICÓNICO, DE EDIFICIO EN MADERA DE ALTO ESTÁNDAR, DE MEDIANA ALTURA DEL PROGRAMA DE INTEGRACIÓN SOCIAL Y TERRITORIAL, REGULADO POR EL DS N° 19 (V. Y U.), DE 2016, EN TERRENOS DE PROPIEDAD SERVIU, REGIÓN DE O'HIGGINS Y ESTABLÉZCASE CALENDARIZACIÓN DEL LLAMADO EN CURSO",https://www.bcn.cl/leychile/navegar?idNorma=1138603
MINISTERIO DE OBRAS PÚBLICAS; DIRECCIÓN GENERAL DE AGUAS; IV REGIÓN DE COQUIMBO,Chile,LeyChile,Resolución,CHL/policy_1138647.txt,txt,https://nuevo.leychile.cl/servicios/Consulta/Exportar?radioExportar=Normas&exportar_formato=txt&nombrearchivo=CHL/policy_1138647&exportar_con_notas_bcn=False&exportar_con_notas_originales=False&exportar_con_notas_al_pie=False&hddResultadoExportar=1138647.2019-11-15.0.0%23,,2019-10-29,https://nuevo.leychile.cl/servicios/Consulta/Exportar?radioExportar=Normas&exportar_formato=txt&nombrearchivo=CHL/policy_1138647&exportar_con_notas_bcn=False&exportar_con_notas_originales=False&exportar_con_notas_al_pie=False&hddResultadoExportar=1138647.2019-11-15.0.0%23,CHL-000-00000-0000000,0,2019-11-15,1138647,False,"ORDENA A LOS TITULARES DE DERECHOS DE APROVECHAMIENTO DE AGUAS SUBTERRÁNEAS CUYOS PUNTOS DE CAPTACIÓN SE ENCUENTRAN UBICADOS EN LOS DISTINTOS SECTORES HIDROGEOLÓGICOS DE APROVECHAMIENTO COMÚN DE LA PROVINCIA DE CHOAPA DE LA REGIÓN DE COQUIMBO, INSTALAR Y MANTENER SISTEMAS DE MEDICIÓN Y DE TRANSMISIÓN DE EXTRACCIONES EFECTIVAS",https://www.bcn.cl/leychile/navegar?idNorma=1138647
MINISTERIO DE OBRAS PÚBLICAS; DIRECCIÓN GENERAL DE AGUAS,Chile,LeyChile,Resolución,CHL/policy_1138646.txt,txt,https://nuevo.leychile.cl/servicios/Consulta/Exportar?radioExportar=Normas&exportar_formato=txt&nombrearchivo=CHL/policy_1138646&exportar_con_notas_bcn=False&exportar_con_notas_originales=False&exportar_con_notas_al_pie=False&hddResultadoExportar=1138646.2019-11-15.0.0%23,,2019-10-04,https://nuevo.leychile.cl/servicios/Consulta/Exportar?radioExportar=Normas&exportar_formato=txt&nombrearchivo=CHL/policy_1138646&exportar_con_notas_bcn=False&exportar_con_notas_originales=False&exportar_con_notas_al_pie=False&hddResultadoExportar=1138646.2019-11-15.0.0%23,CHL-000-00000-0000000,0,2019-11-15,1138646,False,"DECLARA ZONA DE PROHIBICIÓN PARA NUEVAS EXPLOTACIONES DE AGUAS SUBTERRÁNEAS EN EL SECTOR HIDROGEOLÓGICO DE APROVECHAMIENTO COMÚN DENOMINADO TOTORAL ALTO, UBICADO EN LA PROVINCIA DE COPIAPÓ, REGIÓN DE ATACAMA",https://www.bcn.cl/leychile/navegar?idNorma=1138646
MUNICIPALIDAD DE LA CRUZ,Chile,LeyChile,Decreto,CHL/policy_1138512.txt,txt,https://nuevo.leychile.cl/servicios/Consulta/Exportar?radioExportar=Normas&exportar_formato=txt&nombrearchivo=CHL/policy_1138512&exportar_con_notas_bcn=False&exportar_con_notas_originales=False&exportar_con_notas_al_pie=False&hddResultadoExportar=1138512.2019-11-12.0.0%23,,2019-10-24,https://nuevo.leychile.cl/servicios/Consulta/Exportar?radioExportar=Normas&exportar_formato=txt&nombrearchivo=CHL/policy_1138512&exportar_con_notas_bcn=False&exportar_con_notas_originales=False&exportar_con_notas_al_pie=False&hddResultadoExportar=1138512.2019-11-12.0.0%23,CHL-000-00000-0000000,0,2019-11-12,1138512,False,MODIFICA ORDENANZA LOCAL DE ESPECIES ARBÓREAS QUE PUEDEN PLANTARSE EN LOS ESPACIOS PÚBLICOS,https://www.bcn.cl/leychile/navegar?idNorma=1138512
MINISTERIO DEL MEDIO AMBIENTE; SERVICIO DE EVALUACIÓN AMBIENTAL XIV REGIÓN DE LOS RÍOS,Chile,LeyChile,Resolución,CHL/policy_1138480.txt,txt,https://nuevo.leychile.cl/servicios/Consulta/Exportar?radioExportar=Normas&exportar_formato=txt&nombrearchivo=CHL/policy_1138480&exportar_con_notas_bcn=False&exportar_con_notas_originales=False&exportar_con_notas_al_pie=False&hddResultadoExportar=1138480.2019-11-11.0.0%23,,2019-10-16,https://nuevo.leychile.cl/servicios/Consulta/Exportar?radioExportar=Normas&exportar_formato=txt&nombrearchivo=CHL/policy_1138480&exportar_con_notas_bcn=False&exportar_con_notas_originales=False&exportar_con_notas_al_pie=False&hddResultadoExportar=1138480.2019-11-11.0.0%23,CHL-000-00000-0000000,0,2019-11-11,1138480,False,"NOTIFICA RESOLUCIÓN DE INICIO DE PROCESO DE PARTICIPACIÓN CIUDADANA EN DECLARACIÓN DE IMPACTO AMBIENTAL PROYECTO: ""MODIFICACIÓN PROYECTO TÉCNICO Y MEJORAMIENTO PISCICULTURA TRAFÚN""",https://www.bcn.cl/leychile/navegar?idNorma=1138480
MUNICIPALIDAD DE LOTA,Chile,LeyChile,Reglamento Municipal,CHL/policy_1138471.txt,txt,https://nuevo.leychile.cl/servicios/Consulta/Exportar?radioExportar=Normas&exportar_formato=txt&nombrearchivo=CHL/policy_1138471&exportar_con_notas_bcn=False&exportar_con_notas_originales=False&exportar_con_notas_al_pie=False&hddResultadoExportar=1138471.2019-11-09.0.0%23,,2018-12-26,https://nuevo.leychile.cl/servicios/Consulta/Exportar?radioExportar=Normas&exportar_formato=txt&nombrearchivo=CHL/policy_1138471&exportar_con_notas_bcn=False&exportar_con_notas_originales=False&exportar_con_notas_al_pie=False&hddResultadoExportar=1138471.2019-11-09.0.0%23,CHL-000-00000-0000000,0,2019-11-09,1138471,False,SE FIJA LA PLANTA DE LA ILUSTRE MUNICIPALIDAD DE LOTA,https://www.bcn.cl/leychile/navegar?idNorma=1138471
MINISTERIO DEL MEDIO AMBIENTE; SERVICIO DE EVALUACIÓN AMBIENTAL X REGIÓN DE LOS LAGOS,Chile,LeyChile,Resolución,CHL/policy_1138433.txt,txt,https://nuevo.leychile.cl/servicios/Consulta/Exportar?radioExportar=Normas&exportar_formato=txt&nombrearchivo=CHL/policy_1138433&exportar_con_notas_bcn=False&exportar_con_notas_originales=False&exportar_con_notas_al_pie=False&hddResultadoExportar=1138433.2019-11-08.0.0%23,,2019-10-30,https://nuevo.leychile.cl/servicios/Consulta/Exportar?radioExportar=Normas&exportar_formato=txt&nombrearchivo=CHL/policy_1138433&exportar_con_notas_bcn=False&exportar_con_notas_originales=False&exportar_con_notas_al_pie=False&hddResultadoExportar=1138433.2019-11-08.0.0%23,CHL-000-00000-0000000,0,2019-11-08,1138433,False,"INFORMA INICIO DE UN PROCESO DE PARTICIPACIÓN CIUDADANA SEGÚN LO ESTABLECIDO EN EL ARTÍCULO 30 BIS DE LA LEY 19.300, EN EL MARCO DE LA EVALUACIÓN AMBIENTAL DE LA DECLARACIÓN DE IMPACTO AMBIENTAL DEL PROYECTO ""PLANTA DE RECONVERSIÓN Y APROVECHAMIENTO DE BIOMASA ECOPRAB""",https://www.bcn.cl/leychile/navegar?idNorma=1138433
MINISTERIO DE OBRAS PÚBLICAS; DIRECCIÓN GENERAL DE AGUAS XIII REGIÓN METROPOLITANA,Chile,LeyChile,Resolución,CHL/policy_1139247.txt,txt,https://nuevo.leychile.cl/servicios/Consulta/Exportar?radioExportar=Normas&exportar_formato=txt&nombrearchivo=CHL/policy_1139247&exportar_con_notas_bcn=False&exportar_con_notas_originales=False&exportar_con_notas_al_pie=False&hddResultadoExportar=1139247.2019-12-02.0.0%23,,2019-11-19,https://nuevo.leychile.cl/servicios/Consulta/Exportar?radioExportar=Normas&exportar_formato=txt&nombrearchivo=CHL/policy_1139247&exportar_con_notas_bcn=False&exportar_con_notas_originales=False&exportar_con_notas_al_pie=False&hddResultadoExportar=1139247.2019-12-02.0.0%23,CHL-000-00000-0000000,0,2019-12-02,1139247,False,"ORDENA A LOS TITULARES DE DERECHOS DE APROVECHAMIENTO DE AGUAS SUBTERRÁNEAS CUYOS PUNTOS DE CAPTACIÓN SE ENCUENTRAN UBICADOS EN EL SECTOR HIDROLÓGICO DE APROVECHAMIENTO COMÚN LAGUNA DE ACULEO, DE LA REGIÓN METROPOLITANA DE SANTIAGO, INSTALAR Y MANTENER SISTEMAS DE MEDICIÓN Y DE TRANSMISIÓN DE EXTRACCIONES EFECTIVAS",https://www.bcn.cl/leychile/navegar?idNorma=1139247
MINISTERIO DEL MEDIO AMBIENTE; SERVICIO DE EVALUACIÓN AMBIENTAL IX REGIÓN DE LA ARAUCANÍA,Chile,LeyChile,Resolución,CHL/policy_1139515.txt,txt,https://nuevo.leychile.cl/servicios/Consulta/Exportar?radioExportar=Normas&exportar_formato=txt&nombrearchivo=CHL/policy_1139515&exportar_con_notas_bcn=False&exportar_con_notas_originales=False&exportar_con_notas_al_pie=False&hddResultadoExportar=1139515.2019-12-04.0.0%23,,2019-11-25,https://nuevo.leychile.cl/servicios/Consulta/Exportar?radioExportar=Normas&exportar_formato=txt&nombrearchivo=CHL/policy_1139515&exportar_con_notas_bcn=False&exportar_con_notas_originales=False&exportar_con_notas_al_pie=False&hddResultadoExportar=1139515.2019-12-04.0.0%23,CHL-000-00000-0000000,0,2019-12-04,1139515,False,"NOTIFICACIÓN RESOLUCIÓN DE CALIFICACIÓN AMBIENTAL DECLARACIÓN DE IMPACTO AMBIENTAL ""MODIFICACIÓN PISCICULTURA CURARREHUE, AUMENTO DE BIOMASA""",https://www.bcn.cl/leychile/navegar?idNorma=1139515
MINISTERIO DE AGRICULTURA; SUBSECRETARÍA DE AGRICULTURA; SERVICIO AGRÍCOLA Y GANADERO; DIVISIÓN SEMILLAS,Chile,LeyChile,Resolución,CHL/policy_1139509.txt,txt,https://nuevo.leychile.cl/servicios/Consulta/Exportar?radioExportar=Normas&exportar_formato=txt&nombrearchivo=CHL/policy_1139509&exportar_con_notas_bcn=False&exportar_con_notas_originales=False&exportar_con_notas_al_pie=False&hddResultadoExportar=1139509.2019-12-04.0.0%23,,2019-11-25,https://nuevo.leychile.cl/servicios/Consulta/Exportar?radioExportar=Normas&exportar_formato=txt&nombrearchivo=CHL/policy_1139509&exportar_con_notas_bcn=False&exportar_con_notas_originales=False&exportar_con_notas_al_pie=False&hddResultadoExportar=1139509.2019-12-04.0.0%23,CHL-000-00000-0000000,0,2019-12-04,1139509,False,ESTABLECE NORMA ESPECÍFICA DE CERTIFICACIÓN DE SEMILLA QUÍNOA (CHENOPODIUM QUINOA WILLD),https://www.bcn.cl/leychile/navegar?idNorma=1139509
