"POLICY_ID","FULL_DOC_LINK","TITLE","DATE","SUBJECT","KEYWORDS","ABSTRACT","IS_RELEVANT"
"LEX-FAOC009240","http://extwprlegs1.fao.org/docs/pdf/per9240.pdf","Resolución Nº 298/94/AG - Plan Nacional de Desarrollo Frutícola.","1994","Cultivated plants","Policy/planning, Fruits/edible nuts","La presente Resolución, que consta de 6 artículos, aprueba el Plan Nacional de Desarrollo Frutícola con el propósito de promover la actividad frutícola a nivel nacional (art. 1º). Se constituye la Comisión Nacional de Fruticultura (CONAFRUT), como una actividad dentro del Ministerio de Agricultura, encargada de la supervisión y ejecución del mencionado plan (art. 2º).",NA
"LEX-FAOC167217","http://extwprlegs1.fao.org/docs/pdf/gua167217.pdf","Acuerdo Número 6-2017: Crea Comisiones Extraordinarias.","2017","Energy, Environment gen., Food & nutrition, Land & soil, Mineral resources, Water","Institution, Sustainable development, Nutrition, Public health","Por medio del presente Acuerdo se crean varias comisiones extraordinarias, entre las cuales se incluyen las siguientes: Comisión Extraordinaria de Regularización de Areas de Reservas Territoriales y Protegidas; Comisión Extraordinaria de Conflictividad en Asuntos de Extracción Minera y Energética; Comisión Extraordinaria de Desarrollo Sostenible; Comisión Extraordinaria de Desnutrición Crónica y Primer Nivel de Atención en Salud; Comisión Extraordinaria de Recursos Hídricos; Comisión Extraordina",NA
"LEX-FAOC020276","http://extwprlegs1.fao.org/docs/html/per20276.htm","Decreto Supremo Nº 015/00/AG - Declara de interés nacional la instalación de plantaciones de palma aceitera.","2000","Cultivated plants","Plant production, Fruits/edible nuts, Soil conservation/soil improvement","El Decreto, que consta de 6 artículos, declara de interés nacional la instalación de plantaciones de palma aceitera (Elaeis guineensis) para promover el desarrollo sostenible y socioeconómico de la región amazónica y contribuir a la recuperación de suelos deforestados por la agricultura migratoria y por el desarrollo de actividades ilícitas, en áreas con capacidad de uso mayor para el establecimiento de plantaciones de esta especie.",NA
"LEX-FAOC091636","http://extwprlegs1.fao.org/docs/pdf/per91636.pdf","Resolución Nº 062/09/AG/SENASA/DSA - Modifica la Resolución Nº 010/06/AG/SENASA/DSA, que permite la importación de carnes y productos de cerdo procedentes de los Estados Unidos.","2009","Livestock, Food & nutrition","Hygiene/sanitary procedures, International trade, Swine, Meat, HACCP, Certification, Processing/handling, Food quality control/food safety, Animal health, Pests/diseases","La presente Resolución establece los requisitos zoosanitarios para la importación de jamones madurados, cocidos parcialmente, o cocidos de cerdo, de origen y procedencia de3 los Estados Unidos de América.",NA
"LEX-FAOC013493","http://extwprlegs1.fao.org/docs/texts/mex13493.doc","Modifica la NOMEM-007-ZOO-1994: Características zoosanitarias para la operación de establecimientos donde se concentren animales para ferias, exposiciones, subastas, tianguis y eventos ganaderos similares.","1995","Livestock","Internal trade, Pests/diseases, Animal health, Certification","Este Acuerdo declara la continuación de la vigencia de la Norma Oficial Mexicana de Emergencia NOMEM-007-ZOO-1994 sobre las características zoosanitarias para la operación de establecimientos donde se concentren animales para ferias, exposiciones, subastas, tianguis y eventos ganaderos similares. Asimismo, la modifica en lo referente a las condiciones que se deben exigir para la prevención y control de la rabia, disponiendo que todos los animales que ingresen a eventos relacionados con ferias, e",NA
"LEX-FAOC020360","http://extwprlegs1.fao.org/docs/pdf/els20360.pdf","Decreto Nº 60 - Reglamento de la Ley de Creación del Fondo Solidario para la Familia Microempresaria.","1999","Agricultural & rural development","Agricultural development, Special fund, Legal proceedings/administrative proceedings, Financial agricultural measures, Cultural heritage, Gender and natural resources","El presente Decreto, considerando que mediante el Decreto Legislativo Nº 627 del 26 de mayo de 1999 se creó el Fondo Solidario para la Familia Microempresaria (FOSOFAMILIA), con el objeto de otorgar créditos preferentemente a la mujer microempresaria de los sectores comerciales, industriales, agropecuarios, artesanales, agroindustriales, de servicio, culturales, y de toda actividad productiva a nivel nacional, aprueba el Reglamento que establece las normas necesarias para el funcionamiento del F",NA
"LEX-FAOC143960","http://extwprlegs1.fao.org/docs/pdf/per143960.pdf","Resolución Nº 269/14/OS - Procedimiento Administrativo de Reclamos de los Usuarios de los Servicios Públicos de Electricidad y Gas Natural.","2014","Energy","Natural gas, Internal trade, Dispute settlement","La presente Resolución aprueba el Procedimiento Administrativo de Reclamos de los Usuarios de los Servicios Públicos de Electricidad y Gas Natural, con el objetivo de garantizar a los usuarios de los servicios públicos de electricidad y gas natural normas que permitan procedimientos administrativos expeditivos y efectivos para la atención de cualquier reclamo y trámites afines que formulen con relación a dichos servicios.",NA
"LEX-FAOC097026","http://extwprlegs1.fao.org/docs/texts/chi97026.doc","Resolución Nº 2.599 - Establece que el transporte de concentrados de minerales de plomo y zinc deberá realizarse en contenedores herméticamente cerrados.","2010","Environment gen., Waste & hazardous substances","Hazardous substances, Transport/storage, Pollution control","Con el fin de garantizar la protección del medio ambiente y de la salud pública, la presente Resolución establece que el transporte de concentrados de minerales de plomo y zinc entre el sitio de almacenamiento denominado Portezuelo y el Recinto Portuario de Antofagasta deberá realizarse en contenedores herméticamente cerrados que eviten la emisión y derrames de material particulado al ambiente.",NA
"LEX-FAOC078805","http://extwprlegs1.fao.org/docs/pdf/chi78805.pdf","Resolución Nº 2.109 - Declara control obligatorio de la plaga Polilla del Racimo de la Vid (Lobesia botrana).","2008","Cultivated plants","Plant protection, Pests/diseases, Viticulture/oenological practices, Disinfection/disinfestation","La presente Resolcuión declara el control obligatorio de la plaga Polilla del Racimo de la Vid (Lobesia botrana), la cual se aplicará a todas las variedades de la especie vid. A tal efecto, fija como área afectada por la plaga la zona definida por un radio de cinco km determinado desde cada lugar de detección.",NA
"LEX-FAOC091427","http://extwprlegs1.fao.org/docs/pdf/per91427.pdf","Decreto Supremo Nº 088-2009-EM - Modifica el Decreto Supremo Nº 032-2004-EM, Reglamento de las actividades de exploración y explotación de hidrocarburos.","2009","Mineral resources","Mining, Exploration, Oil, Authorization/permit, EIA, Environmental standards, Transport/storage","El presente Decreto Supremo modifica el Reglamento de las actividades de exploración y explotación de hidrocarburos, en relación a las actividades de perforación, servicio de pozos y pruebas de pozos, en orden a determinar las posibilidades de producción y la adecuada de planificación de las actividades en los yacimientos.",NA
