ORGANO LEGISLATIVO,El Salvador,Diario Oficial,753300f5baf327a582ddce02175c9ba42da793fb,https://www.jurisprudencia.gob.sv/DocumentosBoveda/D/2/2020-2029/2020/02/DBF64.PDF,27/02/2020,Decreto Legislativo-527,Federal,"La presente ley tiene por objeto lograr el aprovechamiento y disposición final sanitaria y ambientalmente segura de los residuos, a fin de proteger la salud de las personas, el medio ambiente y fomentar una economía circular, a través del establecimiento de una visión sistémica en la gestión integral de los residuos, la determinación de los actores y su forma de interacción, y la asignación de responsabilidades para lograr cambios conductuales en la población.",LEY DE GESTION INTEGRAL DE RESIDUOS Y FOMENTO AL RECICLAJE,https://www.jurisprudencia.gob.sv/busqueda/showFile.php?bd=2&data=DocumentosBoveda%2FD%2F2%2F2020-2029%2F2020%2F02%2FDBF64.PDF&number=900964&fecha=27/02/2020&numero=LEY=DE=GESTION=INTEGRAL=DE=RESIDUOS=Y=FOMENTO=AL=RECICLAJE&cesta=0&singlePage=false
ORGANO LEGISLATIVO,El Salvador,Diario Oficial,a2cc704ecc62f7e81ac3e914548f96031fdb0632,https://www.jurisprudencia.gob.sv/DocumentosBoveda/D/2/2020-2029/2020/11/E20DE.PDF,19/11/2020,Decreto Legislativo-642,Federal,"La presente ley tiene por objeto, crear diferentes medidas económicas y financieras, de apoyo al sector agropecuario y sus actores, para garantizar la seguridad alimentaria a la población y la subsistencia y operatividad de las cadenas productivas que conforman el sector, así como los puestos de trabajo que estas generan ante la situación de emergencia nacional que se decretó el pasado catorce de marzo del año 2020.","LEY ESPECIAL TRANSITORIA DE MEDIDAS AL SECTOR AGROPECUARIO PARA GARANTIZAR LA SEGURIDAD ALIMENTARIA, ANTE LA EMERGENCIA NACIONAL Y LOS EFECTOS DE LA MISMA POR LA PANDEMIA COVID-19","https://www.jurisprudencia.gob.sv/busqueda/showFile.php?bd=2&data=DocumentosBoveda%2FD%2F2%2F2020-2029%2F2020%2F11%2FE20DE.PDF&number=925918&fecha=19/11/2020&numero=LEY=ESPECIAL=TRANSITORIA=DE=MEDIDAS=AL=SECTOR=AGROPECUARIO=PARA=GARANTIZAR=LA=SEGURIDAD=ALIMENTARIA,=ANTE=LA=EMERGENCIA=NACIONAL=Y=LOS=EFECTOS=DE=LA=MISMA=POR=LA=PANDEMIA=COVID-19&cesta=0&singlePage=false"
INSTITUCIONES AUTÓNOMAS (Alcaldía Municipal),El Salvador,Diario Oficial,d6c44cce4bf31094b8a9c637cdd5dcfb09444e56,https://www.jurisprudencia.gob.sv/DocumentosBoveda/D/2/2010-2019/2018/03/CAA43.PDF,15/03/2018,Decreto Municipal-San Simón,Federal,"La presente ordenanza tiene por objeto propiciar el cambio de conducta en la población de San Simón, Departamento de Morazán, que contribuya al uso eficiente y sostenible de los recursos naturales con énfasis en el agua y el suelo, por medio de un proceso de educación, sensibilización y concientización ambiental, que coordinado con otras autoridades competentes en San Simón, apoyen las labores de la Unidad Ambiental Municipal y Unidad de Promoción Social incluyendo la divulgación y cumplimiento de la presente Ordenanza.","ORDENANZA MUNICIPAL PARA LA PROTECCION DE LAS ZONAS DE RECARGA HIDRICA, USO Y APROVECHAMIENTO RESPONSABLE DE LOS RECURSOS HIDRICOS EN EL MUNICIPIO DE SAN SIMON, DEPARTAMENTO DE MORAZAN","https://www.jurisprudencia.gob.sv/busqueda/showFile.php?bd=2&data=DocumentosBoveda%2FD%2F2%2F2010-2019%2F2018%2F03%2FCAA43.PDF&number=830019&fecha=15/03/2018&numero=ORDENANZA=MUNICIPAL=PARA=LA=PROTECCION=DE=LAS=ZONAS=DE=RECARGA=HIDRICA,=USO=Y=APROVECHAMIENTO=RESPONSABLE=DE=LOS=RECURSOS=HIDRICOS=EN=EL=MUNICIPIO=DE=SAN=SIMON,=DEPARTAMENTO=DE=MORAZAN&cesta=0&singlePage=false"
ORGANO EJECUTIVO (Ministerio de Medio Ambiente y Recursos Naturales),El Salvador,Diario Oficial,326cdc5167d8b134aeb02600486b28967529e3b7,https://www.jurisprudencia.gob.sv/DocumentosBoveda/D/2/2010-2019/2018/03/CAE0A.PDF,21/03/2018,Acuerdo Ejecutivo,Federal,"El presente Reglamento tiene por objeto desarrollar las disposiciones de la Ley del Medio Ambiente y su Reglamento General, que crean y definen funciones del ""Sistema Nacional de Gestión del Medio Ambiente"", teniendo como ámbito de aplicación del SINAMA comprende todo el territorio nacional. La gestión ambiental, en el marco del SINAMA, se establece a través de ""Unidades Ambientales"", a ser conformadas en todas las entidades e instituciones del sector público y municipal, las cuales serán coordinadas por el Ministerio de Medio Ambiente y Recursos Naturales.",REGLAMENTO INTERNO DEL SISTEMA NACIONAL DE GESTION DEL MEDIO AMBIENTE,https://www.jurisprudencia.gob.sv/busqueda/showFile.php?bd=2&data=DocumentosBoveda%2FD%2F2%2F2010-2019%2F2018%2F03%2FCAE0A.PDF&number=830986&fecha=21/03/2018&numero=REGLAMENTO=INTERNO=DEL=SISTEMA=NACIONAL=DE=GESTION=DEL=MEDIO=AMBIENTE&cesta=0&singlePage=false
ORGANO EJECUTIVO (Ministerio de Medio Ambiente y Recursos Naturales),El Salvador,Diario Oficial,07eec23ae8be1f90e93bab94fffab77d46871b9c,https://www.jurisprudencia.gob.sv/DocumentosBoveda/D/2/2010-2019/2018/05/CC290.PDF,17/05/2018,Decreto Ejecutivo,Federal,"El presente Decreto tiene como objetivos conservar los ecosistemas naturales del Área Natural Protegida ""Isla Tasajera""  ubicada una parte en jurisdicción de Tecoluca, Departamento de San Vicente y la otra parte en jurisdicción de Zacatecoluca, Departamento de La Paz, asegurando el mantenimiento de las especies silvestres nativas, especialmente aquellas consideradas como endémicas o amenazadas, junto con los procesos ecológicos y evolutivos que tienen lugar en estos ecosistemas; así como también asegurar el flujo constante para éstas y las siguientes generaciones, de los servicios ambientales suministrados por los ecosistemas naturales del Área Natural Protegida, entre otros.","DECRETO POR MEDIO DEL CUAL SE ESTABLECE COMO AREA NATURAL PROTEGIDA ISLA TASAJERA, UNA PARTE EN EL MUNICIPIO DE TECOLUCA, DEPARTAMENTO DE SAN VICENTE Y OTRA PARTE EN EL MUNICIPIO DE ZACATECOLUCA, DEPARTAMENTO DE LA PAZ","https://www.jurisprudencia.gob.sv/busqueda/showFile.php?bd=2&data=DocumentosBoveda%2FD%2F2%2F2010-2019%2F2018%2F05%2FCC290.PDF&number=836240&fecha=17/05/2018&numero=DECRETO=POR=MEDIO=DEL=CUAL=SE=ESTABLECE=COMO=AREA=NATURAL=PROTEGIDA=%22ISLA=TASAJERA%22,=UNA=PARTE=EN=EL=MUNICIPIO=DE=TECOLUCA,=DEPARTAMENTO=DE=SAN=VICENTE=Y=OTRA=PARTE=EN=EL=MUNICIPIO=DE=ZACATECOLUCA,=DEPARTAMENTO=DE=LA=PAZ&cesta=0&singlePage=false"
ORGANO EJECUTIVO (Ministerio de Agricultura y Ganadería),El Salvador,Diario Oficial,f4e4e13a8b2a1a951f8492de1accb9683e8d649b,https://www.jurisprudencia.gob.sv/DocumentosBoveda/D/2/2010-2019/2018/10/CF662.PDF,11/10/2018,Acuerdo Ejecutivo,Federal,"El presente instructivo tiene como objeto regular la emisión del dictamen técnico a que aluden los Arts. 8-A letra c), 9-A letra b) de la Ley del Régimen Especial de la Tierra en Propiedad de las Asociaciones Cooperativas, Comunales y Comunitarias Campesinas y Beneficiaros de la Reforma Agraria y 27 Inc. 4 de su Reglamento, por parte de las asociaciones cooperativas de la reforma agraria de responsabilidad Limitada, las asociaciones cooperativas de producción agropecuaria de responsabilidad limitada, las asociaciones cooperativas de participación real de responsabilidad limitada y las asociaciones comunales o comunitarias campesinas, en adelante denominadas simplemente las asociaciones.","INSTRUCTIVO REGULADOR PARA LA EMISION DE DICTAMEN TECNICO PARA LAS ASOCIACIONES COOPERATIVAS DE LA REFORMA AGRARIA DE RESPONSABILIDAD LIMITADA, LAS ASOCIACIONES COOPERATIVAS DE PRODUCCION AGROPECUARIA DE RESPONSABILIDAD LIMITADA, LAS ASOCIACIONES COOPERATIVAS DE PARTICIPACION REAL DE RESPONSABILIDAD LIMITADA Y LAS ASOCIACIONES COMUNALES O COMUNITARIAS CAMPESINAS","https://www.jurisprudencia.gob.sv/busqueda/showFile.php?bd=2&data=DocumentosBoveda%2FD%2F2%2F2010-2019%2F2018%2F10%2FCF662.PDF&number=849506&fecha=11/10/2018&numero=INSTRUCTIVO=REGULADOR=PARA=LA=EMISION=DE=DICTAMEN=TECNICO=PARA=LAS=ASOCIACIONES=COOPERATIVAS=DE=LA=REFORMA=AGRARIA=DE=RESPONSABILIDAD=LIMITADA,=LAS=ASOCIACIONES=COOPERATIVAS=DE=PRODUCCION=AGROPECUARIA=DE=RESPONSABILIDAD=LIMITADA,=LAS=ASOCIACIONES=COOPERATIVAS=DE=PARTICIPACION=REAL=DE=RESPONSABILIDAD=LIMITADA=Y=LAS=ASOCIACIONES=COMUNALES=O=COMUNITARIAS=CAMPESINAS&cesta=0&singlePage=false"
ORGANO EJECUTIVO (Ministerio de Agricultura y Ganadería),El Salvador,Diario Oficial,3eb7dca2b45b82baefdbc429892c7948b8de9127,https://www.jurisprudencia.gob.sv/DocumentosBoveda/D/2/2010-2019/2018/10/CF661.PDF,11/10/2018,Acuerdo Ejecutivo,Federal,El presente instructivo tiene como fin establecer el procedimiento administrativo y criterios técnicos y legales para la aprobación de parcelaciones y la emisión de solvencias de cuotas o tarifas para los Distritos de Riego y Avenamiento transferidos y no transferidos.,INSTRUCTIVO REGULADOR PARA APROBACION DE PARCELACIONES Y EMISION DE SOLVENCIAS DE CUOTAS Y TARIFAS DENTRO DE LOS DISTRITOS DE RIEGO Y AVENAMIENTO,https://www.jurisprudencia.gob.sv/busqueda/showFile.php?bd=2&data=DocumentosBoveda%2FD%2F2%2F2010-2019%2F2018%2F10%2FCF661.PDF&number=849505&fecha=11/10/2018&numero=INSTRUCTIVO=REGULADOR=PARA=APROBACION=DE=PARCELACIONES=Y=EMISION=DE=SOLVENCIAS=DE=CUOTAS=Y=TARIFAS=DENTRO=DE=LOS=DISTRITOS=DE=RIEGO=Y=AVENAMIENTO&cesta=0&singlePage=false
ORGANO LEGISLATIVO,El Salvador,Diario Oficial,329438602b92966e91405192ff1db7bbe62159ee,https://www.jurisprudencia.gob.sv/DocumentosBoveda/D/2/2010-2019/2018/10/CFCE0.PDF,30/10/2018,Decreto Legislativo,Federal,"La presente ley especial transitoria tiene por objeto apoyar a los productores de café, que han sido afectados por la disminución de los precios internacionales del café y por los efectos del cambio climático, como ataques virulentos de roya del cultivo del café, que hayan comprobado su moralidad de pago ante sus acreedores y hayan expresado a su acreedor respectivo y al Ministerio de Agricultura y Ganadería, su decisión de acogerse al Programa de Rescate del Sector Café, mediante la suspensión de procesos judiciales iniciados contra deudores de los bancos integrantes del sistema financiero estatal, por créditos relacionados con la producción de café y contratados durante los últimos cinco años, contados a partir del año 2012.",LEY ESPECIAL TRANSITORIA PARA EL ESTABLECIMIENTO DE CONDICIONES FINANCIERAS ESPECIALES PARA LA REACTIVACION FINANCIERA Y PRODUCTIVA DE CAFICULTORES CON CREDITOS EN EL SISTEMA FINANCIERO ESTATAL,https://www.jurisprudencia.gob.sv/busqueda/showFile.php?bd=2&data=DocumentosBoveda%2FD%2F2%2F2010-2019%2F2018%2F10%2FCFCE0.PDF&number=851168&fecha=30/10/2018&numero=LEY=ESPECIAL=TRANSITORIA=PARA=EL=ESTABLECIMIENTO=DE=CONDICIONES=FINANCIERAS=ESPECIALES=PARA=LA=REACTIVACION=FINANCIERA=Y=PRODUCTIVA=DE=CAFICULTORES=CON=CREDITOS=EN=EL=SISTEMA=FINANCIERO=ESTATAL&cesta=0&singlePage=false
INSTITUCIONES AUTÓNOMAS (Alcaldía Municipal),El Salvador,Diario Oficial,7c3fe0d462f2358528cffd36e9f95295caf3d231,https://www.jurisprudencia.gob.sv/DocumentosBoveda/D/2/2010-2019/2019/10/D7F05.PDF,03/10/2019,Decreto Municipal-Gualococti-3,Federal,"La presente ordenanza tiene por objeto propiciar el cambio de conducta de la población del Municipio de Gualococti, Departamento de Morazán, que contribuya al uso eficiente y sostenible de los recursos naturales con énfasis en el agua y el suelo, por medio de un proceso de educación, sensibilización y concientización ambiental, que coordinado con otras autoridades competentes en Gualococti, apoyen las labores de divulgación y cumplimiento de la presente Ordenanza, que la Unidad Ambiental Municipal y la Unidad de Promoción Social desarrollarán para tal efecto.","ORDENANZA MUNICIPAL PARA LA PROTECCION DE LAS ZONAS DE RECARGA HIDRICA, USO Y APROVECHAMIENTO RESPONSABLE DEL RECURSO HIDRICO EN EL MUNICIPIO DE GUALOCOCTI, DEPARTAMENTO DE MORAZAN","https://www.jurisprudencia.gob.sv/busqueda/showFile.php?bd=2&data=DocumentosBoveda%2FD%2F2%2F2010-2019%2F2019%2F10%2FD7F05.PDF&number=884485&fecha=03/10/2019&numero=ORDENANZA=MUNICIPAL=PARA=LA=PROTECCION=DE=LAS=ZONAS=DE=RECARGA=HIDRICA,=USO=Y=APROVECHAMIENTO=RESPONSABLE=DEL=RECURSO=HIDRICO=EN=EL=MUNICIPIO=DE=GUALOCOCTI,=DEPARTAMENTO=DE=MORAZAN&cesta=0&singlePage=false"
INSTITUCIONES AUTÓNOMAS (Alcaldía Municipal),El Salvador,Diario Oficial,d491a15f869a6c03fed26b97052d32847963e388,https://www.jurisprudencia.gob.sv/DocumentosBoveda/D/2/2010-2019/2019/10/D8092.PDF,04/10/2019,Decreto Municipal-Meanguera-1,Federal,"La presente Ordenanza tiene por objeto propiciar el cambio de conducta en la población del Municipio de Meanguera, Departamento de Morazán, que contribuya al uso eficiente y sostenible de los recursos naturales con énfasis en el agua y el suelo, por medio de un proceso de educación, sensibilización y concientización ambiental que, coordinado con otras autoridades competentes en el municipio, apoyen las labores de la Unidad Ambiental Municipal incluyendo la divulgación y cumplimiento de la presente Ordenanza.","ORDENANZA MUNICIPAL PARA LA PROTECCION USO Y APROVECHAMIENTO RESPONSABLE DEL RECURSO HIDRICO EN EL MUNICIPIO DE MEANGUERA, DEPARTAMENTO DE MORAZAN","https://www.jurisprudencia.gob.sv/busqueda/showFile.php?bd=2&data=DocumentosBoveda%2FD%2F2%2F2010-2019%2F2019%2F10%2FD8092.PDF&number=884882&fecha=04/10/2019&numero=ORDENANZA=MUNICIPAL=PARA=LA=PROTECCION=USO=Y=APROVECHAMIENTO=RESPONSABLE=DEL=RECURSO=HIDRICO=EN=EL=MUNICIPIO=DE=MEANGUERA,=DEPARTAMENTO=DE=MORAZAN&cesta=0&singlePage=false"
