,keyword,sentence_ID,xlm_K-rank,xlm_K-sim,xlm_S-rank,xlm_S-sim,dist_K-rank,dist_K-sim,dist_S-rank,dist_S-sim
0,incentivo,00a55af_32,3195,0.37,641,0.6,15000,0.0,951,0.27
1,incentivo,00a55af_75,246,0.52,365,0.65,15000,0.0,15000,0.0
2,incentivo,00a55af_82,2237,0.4,366,0.65,15000,0.0,1397,0.24
3,incentivo,0d090c5_34,591,0.47,14,0.82,15000,0.0,3,0.7
4,incentivo,15169f7_31,3196,0.37,642,0.6,15000,0.0,952,0.27
5,incentivo,15169f7_71,232,0.52,361,0.65,15000,0.0,15000,0.0
6,incentivo,15169f7_77,2238,0.4,367,0.65,15000,0.0,1398,0.24
7,incentivo,2369a4b_74,3584,0.37,122,0.73,15000,0.0,52,0.42
8,incentivo,48bdadf_142,2675,0.39,4762,0.44,15000,0.0,15000,0.0
9,incentivo,48bdadf_204,446,0.49,575,0.61,15000,0.0,1857,0.23
10,incentivo,51a0d9e_30,64,0.58,1,1.0,13,0.26,1,1.0
11,incentivo,5bd487f_10,4294,0.35,923,0.58,15000,0.0,15000,0.0
12,incentivo,5bd487f_18,423,0.49,246,0.68,15000,0.0,511,0.29
13,incentivo,5bd487f_21,27,0.6,128,0.72,2,0.36,600,0.28
14,incentivo,5c54e9a_56,3585,0.37,123,0.73,15000,0.0,53,0.42
15,incentivo,66d8c54_33,3197,0.37,643,0.6,15000,0.0,953,0.27
16,incentivo,66d8c54_77,233,0.52,362,0.65,15000,0.0,15000,0.0
17,incentivo,66d8c54_83,2239,0.4,368,0.65,15000,0.0,1399,0.24
18,incentivo,70be962_10,15000,0.0,4281,0.45,15000,0.0,15000,0.0
19,incentivo,70be962_11,1316,0.43,23,0.8,15000,0.0,112,0.37
20,incentivo,70be962_22,5324,0.34,1595,0.54,15000,0.0,2073,0.22
21,incentivo,70be962_52,15000,0.0,6014,0.41,15000,0.0,15000,0.0
22,incentivo,7289291_64,4220,0.35,201,0.7,15000,0.0,18,0.45
23,incentivo,753300f_106,7953,0.3,15000,0.0,15000,0.0,2706,0.21
24,incentivo,753300f_287,4060,0.36,1115,0.56,15000,0.0,1992,0.23
25,incentivo,76b6e7f_107,3586,0.37,124,0.73,15000,0.0,54,0.42
26,incentivo,7bd959f_213,74,0.57,1604,0.54,62,0.21,460,0.3
27,incentivo,7c3fe0d_171,78,0.57,8,0.84,15000,0.0,340,0.31
28,incentivo,7c3fe0d_172,9621,0.28,5438,0.42,15000,0.0,2713,0.21
29,incentivo,7c3fe0d_175,19,0.62,307,0.66,23,0.25,2553,0.21
30,incentivo,7c3fe0d_176,15000,0.0,9746,0.35,85,0.2,1001,0.26
31,incentivo,7c3fe0d_177,131,0.54,3,0.9,15000,0.0,63,0.4
32,incentivo,85d7464_28,222,0.52,2,0.92,15000,0.0,2,0.78
33,incentivo,88ad2ff_52,14,0.63,463,0.62,15000,0.0,59,0.41
34,incentivo,8fb61f8_178,39,0.6,1111,0.56,20,0.25,39,0.42
35,incentivo,901a837_73,3060,0.38,667,0.6,15000,0.0,986,0.26
36,incentivo,930897c_256,248,0.52,15,0.81,30,0.24,23,0.44
37,incentivo,a9bb3c2_9,632,0.47,5324,0.43,15000,0.0,15000,0.0
38,incentivo,cefe040_65,15000,0.0,1043,0.57,15000,0.0,1631,0.24
39,incentivo,cfe0ee3_92,15000,0.0,422,0.63,15000,0.0,15000,0.0
40,incentivo,d491a15_173,110,0.55,7,0.84,15000,0.0,414,0.31
41,incentivo,d491a15_174,15000,0.0,2084,0.51,15000,0.0,162,0.35
42,incentivo,d491a15_177,2,0.69,481,0.62,6,0.32,1729,0.23
43,incentivo,d491a15_178,3654,0.37,6348,0.4,49,0.22,588,0.28
44,incentivo,d491a15_179,132,0.54,4,0.9,15000,0.0,64,0.4
45,incentivo,d6c44cc_184,80,0.57,9,0.84,15000,0.0,403,0.31
46,incentivo,d6c44cc_185,15000,0.0,5905,0.41,15000,0.0,1676,0.24
47,incentivo,d6c44cc_187,3,0.69,482,0.62,7,0.32,1730,0.23
48,incentivo,d6c44cc_188,8655,0.29,8941,0.36,15000,0.0,712,0.28
49,incentivo,d6c44cc_189,133,0.54,5,0.9,15000,0.0,65,0.4
50,incentivo,e2bb383_21,124,0.55,507,0.62,15000,0.0,15000,0.0
51,incentivo,e2bb383_110,8,0.65,651,0.6,12,0.28,15000,0.0
52,incentivo,e2bb383_179,1299,0.43,455,0.63,15000,0.0,1726,0.23
53,incentivo,e2bb383_182,425,0.49,399,0.64,15000,0.0,15000,0.0
54,incentivo,e3b7f39_231,11,0.63,2230,0.51,16,0.26,15000,0.0
55,incentivo,e5e0011_84,15000,0.0,423,0.63,15000,0.0,15000,0.0
56,incentivo,e97f743_12,961,0.45,26,0.79,34,0.23,10,0.47
57,incentivo,eb99685_144,503,0.48,506,0.62,15000,0.0,920,0.27
58,incentivo,f13fd1f_116,3587,0.37,125,0.73,15000,0.0,55,0.42
59,incentivo,f5d3dd3_62,84,0.56,341,0.65,15000,0.0,86,0.38
60,ayuda,00a55af_61,880,0.39,1,1.0,12,0.22,1,1.0
