,keyword,sentence_ID,xlm_K-rank,xlm_K-sim,xlm_S-rank,xlm_S-sim,dist_K-rank,dist_K-sim,dist_S-rank,dist_S-sim
496,multa,30220c4_20,15000,0.0,90,0.65,15000,0.0,654,0.42
497,multa,3100693_90,15000,0.0,3759,0.39,15000,0.0,2277,0.29
498,multa,3100693_125,15000,0.0,2613,0.43,15000,0.0,2854,0.27
499,multa,3100693_126,15000,0.0,57,0.67,15000,0.0,5,0.76
500,multa,3100693_127,15000,0.0,951,0.51,15000,0.0,1192,0.36
501,multa,3100693_132,15000,0.0,136,0.63,15000,0.0,786,0.4
502,multa,323ef51_133,15000,0.0,49,0.68,15000,0.0,111,0.6
503,multa,323ef51_197,15000,0.0,3597,0.4,15000,0.0,1142,0.36
504,multa,323ef51_198,15000,0.0,1412,0.48,15000,0.0,1026,0.37
505,multa,323ef51_199,15000,0.0,6708,0.33,15000,0.0,1949,0.31
506,multa,323ef51_200,15000,0.0,121,0.63,15000,0.0,825,0.39
507,multa,323ef51_202,15000,0.0,5,0.77,15000,0.0,28,0.67
508,multa,323ef51_203,15000,0.0,702,0.54,15000,0.0,2142,0.3
509,multa,323ef51_206,15000,0.0,211,0.6,15000,0.0,824,0.39
510,multa,323ef51_208,7459,0.29,266,0.59,15000,0.0,1893,0.31
511,multa,3416cbf_19,4193,0.34,2720,0.42,15000,0.0,3535,0.24
512,multa,3416cbf_21,15000,0.0,1298,0.49,15000,0.0,2600,0.28
513,multa,3416cbf_161,15000,0.0,249,0.59,15000,0.0,1643,0.33
514,multa,3416cbf_202,9876,0.27,2081,0.45,15000,0.0,2577,0.28
515,multa,3416cbf_203,15000,0.0,59,0.67,15000,0.0,7,0.76
516,multa,3416cbf_204,15000,0.0,952,0.51,15000,0.0,1193,0.36
517,multa,3416cbf_212,15000,0.0,137,0.63,15000,0.0,787,0.4
518,multa,34f1f1d_401,15000,0.0,1092,0.5,15000,0.0,768,0.4
519,multa,34f1f1d_404,7347,0.29,547,0.55,15000,0.0,381,0.47
520,multa,34f1f1d_406,15000,0.0,529,0.55,15000,0.0,1286,0.35
521,multa,34f1f1d_410,8692,0.28,2769,0.42,15000,0.0,1349,0.34
522,multa,35b8443_50,15000,0.0,2110,0.45,15000,0.0,15000,0.0
523,multa,35b8443_63,3088,0.37,2145,0.45,15000,0.0,1137,0.36
524,multa,35b8443_80,2824,0.37,542,0.55,15000,0.0,2670,0.28
525,multa,35b8443_93,15000,0.0,5427,0.36,15000,0.0,2538,0.28
526,multa,35b8443_94,15000,0.0,801,0.52,15000,0.0,1035,0.37
527,multa,35b8443_95,15000,0.0,5078,0.37,15000,0.0,2504,0.29
528,multa,35b8443_100,15000,0.0,4451,0.38,15000,0.0,3404,0.25
529,multa,35b8443_102,4293,0.34,2103,0.45,15000,0.0,1312,0.35
530,multa,35b8443_103,15000,0.0,193,0.61,15000,0.0,53,0.64
531,multa,35b8443_104,15000,0.0,168,0.61,15000,0.0,323,0.5
532,multa,35b8443_105,15000,0.0,152,0.62,15000,0.0,977,0.38
533,multa,35b8443_106,15000,0.0,235,0.6,15000,0.0,275,0.52
534,multa,35b8443_109,15000,0.0,1423,0.48,15000,0.0,684,0.41
535,multa,35b8443_112,15000,0.0,3124,0.41,15000,0.0,2311,0.29
536,multa,35b8443_113,15000,0.0,1628,0.47,15000,0.0,503,0.45
537,multa,35b8443_117,15000,0.0,314,0.58,15000,0.0,288,0.51
538,multa,35b8443_135,15000,0.0,600,0.55,15000,0.0,2020,0.31
539,multa,3610a3c_108,3731,0.35,525,0.55,15000,0.0,665,0.42
540,multa,3610a3c_141,15000,0.0,13,0.73,15000,0.0,142,0.58
541,multa,3610a3c_194,15000,0.0,1108,0.5,15000,0.0,310,0.5
542,multa,3610a3c_206,15000,0.0,1261,0.49,15000,0.0,1110,0.36
543,multa,3610a3c_221,15000,0.0,6459,0.34,15000,0.0,2272,0.3
544,multa,3610a3c_248,6760,0.3,6103,0.34,15000,0.0,1713,0.32
545,multa,3610a3c_252,15000,0.0,115,0.63,15000,0.0,108,0.6
546,multa,3610a3c_254,15000,0.0,1119,0.5,15000,0.0,2392,0.29
547,multa,36443d4_143,15000,0.0,8972,0.3,15000,0.0,3104,0.26
548,multa,36443d4_146,15000,0.0,5984,0.35,15000,0.0,2874,0.27
549,multa,36443d4_165,9383,0.27,458,0.56,15000,0.0,121,0.59
550,multa,36443d4_168,15000,0.0,9,0.75,15000,0.0,24,0.68
551,multa,36443d4_186,15000,0.0,135,0.63,15000,0.0,1165,0.36
552,multa,369c7dd_126,15000,0.0,2601,0.43,15000,0.0,2745,0.27
553,multa,369c7dd_128,15000,0.0,3998,0.39,15000,0.0,3822,0.23
554,multa,369c7dd_130,15000,0.0,3986,0.39,15000,0.0,5229,0.2
555,multa,369c7dd_132,8183,0.29,1945,0.45,15000,0.0,15000,0.0
556,multa,369c7dd_133,15000,0.0,5120,0.36,15000,0.0,599,0.43
557,multa,37d59e7_63,15000,0.0,218,0.6,15000,0.0,760,0.4
558,multa,37d59e7_68,15000,0.0,309,0.58,15000,0.0,621,0.42
559,multa,37d59e7_84,15000,0.0,481,0.56,15000,0.0,2593,0.28
560,multa,37d59e7_85,15000,0.0,1409,0.48,15000,0.0,2839,0.27
561,multa,37d59e7_88,8827,0.28,285,0.59,15000,0.0,88,0.61
562,multa,38507e7_71,15000,0.0,5809,0.35,15000,0.0,2475,0.29
563,multa,38507e7_77,15000,0.0,15000,0.0,15000,0.0,2725,0.27
564,multa,38507e7_82,1700,0.42,281,0.59,15000,0.0,2292,0.29
565,multa,3ce4a28_137,6659,0.3,1150,0.5,15000,0.0,2977,0.26
566,multa,3ce4a28_138,15000,0.0,15000,0.0,15000,0.0,1610,0.33
567,multa,3ce4a28_140,15000,0.0,4946,0.37,15000,0.0,2138,0.3
568,multa,3ce4a28_142,15000,0.0,2193,0.44,15000,0.0,1153,0.36
569,multa,3ce4a28_143,15000,0.0,2421,0.43,15000,0.0,4908,0.21
570,multa,3f95071_125,15000,0.0,914,0.51,15000,0.0,746,0.4
571,multa,3f95071_130,15000,0.0,2184,0.44,15000,0.0,2487,0.29
572,multa,3f95071_145,15000,0.0,8444,0.31,15000,0.0,2705,0.28
573,multa,3f95071_152,9893,0.27,342,0.58,15000,0.0,126,0.59
574,multa,3f95071_155,15000,0.0,269,0.59,15000,0.0,1300,0.35
575,multa,3f95071_161,15000,0.0,1491,0.48,15000,0.0,2282,0.29
576,multa,40a1fbd_78,15000,0.0,1805,0.46,15000,0.0,2769,0.27
577,multa,40a1fbd_90,15000,0.0,783,0.53,15000,0.0,572,0.43
578,multa,40a1fbd_92,15000,0.0,3698,0.39,15000,0.0,4213,0.22
579,multa,40a1fbd_93,15000,0.0,4266,0.38,15000,0.0,2786,0.27
580,multa,40a1fbd_107,15000,0.0,1497,0.48,15000,0.0,1106,0.36
581,multa,40a1fbd_122,15000,0.0,607,0.55,15000,0.0,1245,0.35
582,multa,40a1fbd_124,15000,0.0,623,0.54,15000,0.0,627,0.42
583,multa,40c8358_71,15000,0.0,6501,0.34,15000,0.0,15000,0.0
584,multa,40c8358_224,15000,0.0,1824,0.46,15000,0.0,3314,0.25
585,multa,40c8358_239,15000,0.0,650,0.54,15000,0.0,611,0.42
586,multa,40c8358_241,5869,0.31,350,0.58,15000,0.0,582,0.43
587,multa,40c8358_242,15000,0.0,1724,0.47,15000,0.0,891,0.38
588,multa,40c8358_244,7000,0.3,5179,0.36,15000,0.0,4711,0.21
589,multa,4245aca_106,15000,0.0,7169,0.33,15000,0.0,1860,0.32
590,multa,4245aca_129,15000,0.0,923,0.51,15000,0.0,513,0.44
591,multa,4245aca_136,15000,0.0,1318,0.48,15000,0.0,329,0.5
592,multa,4245aca_138,15000,0.0,3226,0.41,15000,0.0,3226,0.25
593,multa,4245aca_151,353,0.51,2746,0.42,15000,0.0,2061,0.31
594,multa,443a5b6_172,15000,0.0,1818,0.46,15000,0.0,1726,0.32
595,multa,475ed96_30,15000,0.0,3962,0.39,15000,0.0,15000,0.0
596,multa,47d5420_181,15000,0.0,1757,0.46,15000,0.0,1767,0.32
597,multa,48bdadf_275,8440,0.28,865,0.52,15000,0.0,2858,0.27
598,multa,48bdadf_276,15000,0.0,15000,0.0,15000,0.0,1611,0.33
599,multa,48bdadf_278,15000,0.0,5062,0.37,15000,0.0,2172,0.3
600,multa,48bdadf_280,15000,0.0,2194,0.44,15000,0.0,1154,0.36
601,multa,48bdadf_281,15000,0.0,2422,0.43,15000,0.0,4909,0.21
602,multa,498128e_401,15000,0.0,1093,0.5,15000,0.0,769,0.4
603,multa,498128e_404,7348,0.29,548,0.55,15000,0.0,382,0.47
604,multa,498128e_407,15000,0.0,530,0.55,15000,0.0,1287,0.35
605,multa,498128e_411,8693,0.28,2770,0.42,15000,0.0,1350,0.34
606,multa,498aa7d_101,15000,0.0,386,0.57,15000,0.0,562,0.43
607,multa,4c4c6e4_116,15000,0.0,644,0.54,15000,0.0,574,0.43
608,multa,4c4c6e4_127,15000,0.0,3206,0.41,15000,0.0,2072,0.31
609,multa,4c4c6e4_135,4691,0.33,949,0.51,15000,0.0,4275,0.22
610,multa,4c4c6e4_142,339,0.51,3142,0.41,15000,0.0,2447,0.29
611,multa,4c4c6e4_144,15000,0.0,34,0.7,15000,0.0,117,0.59
612,multa,4c4c6e4_145,15000,0.0,4050,0.39,15000,0.0,5189,0.2
613,multa,4c71364_153,15000,0.0,3267,0.4,15000,0.0,3995,0.23
614,multa,4c71364_155,15000,0.0,1737,0.47,15000,0.0,2149,0.3
615,multa,4c71364_158,15000,0.0,134,0.63,15000,0.0,351,0.49
616,multa,4e220b5_143,15000,0.0,937,0.51,15000,0.0,672,0.42
617,multa,4e220b5_183,8237,0.28,585,0.55,15000,0.0,575,0.43
618,multa,4e220b5_234,6498,0.31,545,0.55,15000,0.0,696,0.41
619,multa,4e220b5_238,15000,0.0,328,0.58,15000,0.0,500,0.45
620,multa,4e220b5_243,248,0.53,5523,0.36,15000,0.0,571,0.43
621,multa,4e220b5_244,6833,0.3,1333,0.48,15000,0.0,2537,0.28
622,multa,4e220b5_245,15000,0.0,1463,0.48,15000,0.0,15,0.69
623,multa,4e220b5_246,15000,0.0,6620,0.34,15000,0.0,1329,0.34
624,multa,4e22213_54,15000,0.0,712,0.54,15000,0.0,156,0.57
625,multa,4e22213_55,15000,0.0,695,0.54,15000,0.0,457,0.46
626,multa,4e22213_61,9675,0.27,775,0.53,15000,0.0,2501,0.29
627,multa,4e22213_64,5200,0.32,1684,0.47,15000,0.0,15000,0.0
