,Experiment number,model,f1-score,epochs,test_perc
0,13,paraphrase-xlm-r-multilingual-v1,0.5,6,0.15
1,14,paraphrase-xlm-r-multilingual-v1,0.52,8,0.3
2,15,paraphrase-xlm-r-multilingual-v1,0.58,10,0.2
3,12,paraphrase-xlm-r-multilingual-v1,0.72,6,0.2
4,10,paraphrase-xlm-r-multilingual-v1,0.75,10,0.3
5,11,paraphrase-xlm-r-multilingual-v1,0.67,8,0.25
